model_seed,N_streams,candidate,baseline,candidate_total_bytes,baseline_total_bytes,rmst_delta_tokens,pointwise_ci95_low,pointwise_ci95_high,paired_sequences,bootstrap_repeats,bootstrap_seed,rng_substream,scope
1,128,LOWRANK_4_8_R2,UNIFORM_5,290547,282554,6.5390625,-2.584033203125,16.228955078124994,512,5000,41001,"SeedSequence([41001,1])",post-hoc reused-TEST selected comparator; pointwise conditional CI; no multiplicity or selection correction
1,1,LOWRANK_4_8_R4,UNIFORM_9,35419,33138,-36.837890625,-48.512353515625,-24.996337890625025,512,5000,41001,"SeedSequence([41001,1])",post-hoc reused-TEST selected comparator; pointwise conditional CI; no multiplicity or selection correction
1,16,LOWRANK_4_8_R4,MIXED_6_8_TOP4,71539,70863,-32.837890625,-44.412548828125,-21.322216796875,512,5000,41001,"SeedSequence([41001,1])",post-hoc reused-TEST selected comparator; pointwise conditional CI; no multiplicity or selection correction
1,128,LOWRANK_4_8_R4,MIXED_6_8_TOP1,341235,338255,-23.34765625,-33.846875,-12.740185546875,512,5000,41001,"SeedSequence([41001,1])",post-hoc reused-TEST selected comparator; pointwise conditional CI; no multiplicity or selection correction
2,1,FULL_RESIDUAL_4_4,UNIFORM_8,33110,32754,-0.7265625,-3.029345703125,1.3359375,512,5000,41001,"SeedSequence([41001,2])",post-hoc reused-TEST selected comparator; pointwise conditional CI; no multiplicity or selection correction
2,16,FULL_RESIDUAL_4_4,UNIFORM_8,80750,79674,-0.7265625,-3.029345703125,1.3359375,512,5000,41001,"SeedSequence([41001,2])",post-hoc reused-TEST selected comparator; pointwise conditional CI; no multiplicity or selection correction
2,128,FULL_RESIDUAL_4_4,UNIFORM_8,436462,430010,-0.7265625,-3.029345703125,1.3359375,512,5000,41001,"SeedSequence([41001,2])",post-hoc reused-TEST selected comparator; pointwise conditional CI; no multiplicity or selection correction
2,1,FULL_RESIDUAL_4_8,UNIFORM_9,34646,33138,0.1640625,-1.365283203125,1.7366210937499957,512,5000,41001,"SeedSequence([41001,2])",post-hoc reused-TEST selected comparator; pointwise conditional CI; no multiplicity or selection correction
2,16,FULL_RESIDUAL_4_8,UNIFORM_9,105326,85818,0.1640625,-1.365283203125,1.7366210937499957,512,5000,41001,"SeedSequence([41001,2])",post-hoc reused-TEST selected comparator; pointwise conditional CI; no multiplicity or selection correction
2,128,FULL_RESIDUAL_4_8,UNIFORM_9,633070,479162,0.1640625,-1.365283203125,1.7366210937499957,512,5000,41001,"SeedSequence([41001,2])",post-hoc reused-TEST selected comparator; pointwise conditional CI; no multiplicity or selection correction
2,1,FULL_RESIDUAL_4_FP32,UNIFORM_14,43598,35059,-0.162109375,-0.4765625,0.037109375,512,5000,41001,"SeedSequence([41001,2])",post-hoc reused-TEST selected comparator; pointwise conditional CI; no multiplicity or selection correction
2,16,FULL_RESIDUAL_4_FP32,UNIFORM_14,251798,116539,-0.162109375,-0.4765625,0.037109375,512,5000,41001,"SeedSequence([41001,2])",post-hoc reused-TEST selected comparator; pointwise conditional CI; no multiplicity or selection correction
2,128,FULL_RESIDUAL_4_FP32,UNIFORM_14,1806358,724923,-0.162109375,-0.4765625,0.037109375,512,5000,41001,"SeedSequence([41001,2])",post-hoc reused-TEST selected comparator; pointwise conditional CI; no multiplicity or selection correction
2,1,LOWRANK_4_8_R1,UNIFORM_7,32539,32370,-27.6484375,-33.94140625,-21.511328125000006,512,5000,41001,"SeedSequence([41001,2])",post-hoc reused-TEST selected comparator; pointwise conditional CI; no multiplicity or selection correction
2,16,LOWRANK_4_8_R1,MIXED_4_8_TOP2,60019,58575,-2.845703125,-8.68759765625,2.861474609374998,512,5000,41001,"SeedSequence([41001,2])",post-hoc reused-TEST selected comparator; pointwise conditional CI; no multiplicity or selection correction
2,128,LOWRANK_4_8_R1,MIXED_4_8_TOP2,265203,258383,-2.845703125,-8.68759765625,2.861474609374998,512,5000,41001,"SeedSequence([41001,2])",post-hoc reused-TEST selected comparator; pointwise conditional CI; no multiplicity or selection correction
2,1,LOWRANK_4_8_R2,UNIFORM_9,33499,33138,-3.228515625,-9.1798828125,2.6426757812499986,512,5000,41001,"SeedSequence([41001,2])",post-hoc reused-TEST selected comparator; pointwise conditional CI; no multiplicity or selection correction
2,16,LOWRANK_4_8_R2,UNIFORM_5,63859,61242,10.28125,4.45087890625,16.029492187499997,512,5000,41001,"SeedSequence([41001,2])",post-hoc reused-TEST selected comparator; pointwise conditional CI; no multiplicity or selection correction
2,128,LOWRANK_4_8_R2,UNIFORM_5,290547,282554,10.28125,4.45087890625,16.029492187499997,512,5000,41001,"SeedSequence([41001,2])",post-hoc reused-TEST selected comparator; pointwise conditional CI; no multiplicity or selection correction
2,1,LOWRANK_4_8_R4,UNIFORM_14,35419,35059,0.861328125,-4.6193359375,6.510058593749996,512,5000,41001,"SeedSequence([41001,2])",post-hoc reused-TEST selected comparator; pointwise conditional CI; no multiplicity or selection correction
2,16,LOWRANK_4_8_R4,MIXED_6_8_TOP4,71539,70863,1.900390625,-3.87705078125,7.642773437499997,512,5000,41001,"SeedSequence([41001,2])",post-hoc reused-TEST selected comparator; pointwise conditional CI; no multiplicity or selection correction
2,128,LOWRANK_4_8_R4,UNIFORM_6,341235,331706,5.435546875,0.0915039062500001,10.650488281249999,512,5000,41001,"SeedSequence([41001,2])",post-hoc reused-TEST selected comparator; pointwise conditional CI; no multiplicity or selection correction
