domain,condition,model_seed,arm,evaluation_version,horizon,first_failures,failure_probability,survival_probability,failure_upper_bound,survival_lower_bound,family_size
toy,s4_rotated,,UNIFORM_15,v1-unchanged-finite-nonstochastic,512,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_rotated,,UNIFORM_15,v1-unchanged-finite-nonstochastic,1024,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_rotated,,UNIFORM_15,v1-unchanged-finite-nonstochastic,2048,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_rotated,,UNIFORM_16,v1-unchanged-finite-nonstochastic,32,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_rotated,,UNIFORM_16,v1-unchanged-finite-nonstochastic,64,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_rotated,,UNIFORM_16,v1-unchanged-finite-nonstochastic,128,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_rotated,,UNIFORM_16,v1-unchanged-finite-nonstochastic,256,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_rotated,,UNIFORM_16,v1-unchanged-finite-nonstochastic,512,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_rotated,,UNIFORM_16,v1-unchanged-finite-nonstochastic,1024,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_rotated,,UNIFORM_16,v1-unchanged-finite-nonstochastic,2048,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_rotated,,STOCHASTIC_4,v2-stochastic-seedkey,32,266,0.51953125,0.48046875,0.6046257458565997,0.3953742541434003,875
toy,s4_rotated,,STOCHASTIC_4,v2-stochastic-seedkey,64,441,0.861328125,0.138671875,0.9136651831976194,0.08633481680238064,875
toy,s4_rotated,,STOCHASTIC_4,v2-stochastic-seedkey,128,505,0.986328125,0.013671875,0.9981533798640521,0.0018466201359479406,875
toy,s4_rotated,,STOCHASTIC_4,v2-stochastic-seedkey,256,512,1.0,0.0,1.0,0.0,875
toy,s4_rotated,,STOCHASTIC_4,v2-stochastic-seedkey,512,512,1.0,0.0,1.0,0.0,875
