model_seed,arm,group_position,metric,N,active_N,before_first_failure_N,at_or_after_first_failure_N,valid_N,mean,median,minimum,maximum
0,UNIFORM_5,512,native_state_error_mse,32,32,0,32,32,3252.922068851344,3311.42492027721,2182.5568605872386,4398.446160158131
0,UNIFORM_5,512,fp64_shadow_error_l2,32,32,0,32,32,3153.309240722354,3189.466284456488,2589.3657118297247,3675.870855326136
0,UNIFORM_5,512,fp64_shadow_error_mse,32,32,0,32,32,3252.9220581568734,3311.4248853390764,2182.556897656073,4398.44614096227
0,UNIFORM_5,512,gold_margin,32,32,0,32,32,3.994005270302297,15.93249225616455,-85.70042610168457,55.65691566467285
0,UNIFORM_5,512,top_two_margin,32,32,0,32,32,30.48403910547495,29.065861225128174,4.273131370544434,83.24608039855957
0,UNIFORM_5,2048,state_norm,32,32,0,32,32,31943.803701204062,31848.57528891747,25586.98999321604,37498.71692000291
0,UNIFORM_5,2048,residual_norm,32,32,0,32,32,0.0,0.0,0.0,0.0
0,UNIFORM_5,2048,native_state_norm,32,32,0,32,32,4231.570306020816,4143.7405657052805,3858.873432744674,4931.244167193293
0,UNIFORM_5,2048,fp64_shadow_state_norm,32,32,0,32,32,4231.570907120142,4143.741172426098,3858.8739731821165,4931.24454722839
0,UNIFORM_5,2048,state_scale_minimum,32,32,0,32,32,0.0003292242145107593,0.0003271678142482415,0.0002908920869231224,0.0003763283893931657
0,UNIFORM_5,2048,state_scale_maximum,32,32,0,32,32,3613.9025421142583,3446.200439453125,2711.2783203125,5131.1923828125
0,UNIFORM_5,2048,residual_scale_minimum,32,32,0,32,0,,,,
0,UNIFORM_5,2048,residual_scale_maximum,32,32,0,32,0,,,,
0,UNIFORM_5,2048,self_writeback_mse,32,32,0,32,32,877.4706491017376,852.8575755395361,492.48670190294314,1496.308000024797
0,UNIFORM_5,2048,projection_leakage_mse,32,32,0,32,32,0.0,0.0,0.0,0.0
0,UNIFORM_5,2048,native_state_error_l2,32,32,0,32,32,31632.13130280502,31571.75799036539,25227.15096110555,37392.02483303971
0,UNIFORM_5,2048,native_state_error_mse,32,32,0,32,32,328309.8720915458,324518.95839704305,207164.43542135702,455131.35452951124
0,UNIFORM_5,2048,fp64_shadow_error_l2,32,32,0,32,32,31632.131284526266,31571.758156130447,25227.1508936448,37392.02480970699
0,UNIFORM_5,2048,fp64_shadow_error_mse,32,32,0,32,32,328309.8717158098,324518.96181353636,207164.43431338656,455131.3539615049
0,UNIFORM_5,2048,gold_margin,32,32,0,32,32,-22.6291269576177,-19.60339181125164,-119.79237651824951,73.39949035644531
0,UNIFORM_5,2048,top_two_margin,32,32,0,32,32,28.048656781204045,22.25523817539215,1.3760366439819336,85.14129257202148
0,LOWRANK_4_8_R2,128,state_norm,32,32,31,1,32,2215.501900181473,2178.7031539850686,1970.3455251064875,2920.42799011007
0,LOWRANK_4_8_R2,128,residual_norm,32,32,31,1,32,111.30951499200454,108.78632159357015,90.78620305723092,177.6094282215633
0,LOWRANK_4_8_R2,128,native_state_norm,32,32,31,1,32,1340.7897535312188,1342.5264864307337,1120.6377605058806,1545.94361977141
0,LOWRANK_4_8_R2,128,fp64_shadow_state_norm,32,32,31,1,32,1340.7897416148594,1342.5265002864448,1120.6377585923672,1545.9436090767683
0,LOWRANK_4_8_R2,128,state_scale_minimum,32,32,31,1,32,3.282707615426261e-05,3.041692434635479e-05,1.777395482349675e-05,5.515020529855974e-05
0,LOWRANK_4_8_R2,128,state_scale_maximum,32,32,31,1,32,275.9833827018738,270.61279296875,190.70498657226562,424.9508361816406
0,LOWRANK_4_8_R2,128,residual_scale_minimum,32,32,31,1,32,7.349078067486747e-07,1.5805930075885044e-07,7.74874298059558e-09,7.551895123469876e-06
0,LOWRANK_4_8_R2,128,residual_scale_maximum,32,32,31,1,32,26.392030477523804,24.082862854003906,17.239843368530273,53.22683334350586
0,LOWRANK_4_8_R2,128,self_writeback_mse,32,32,31,1,32,16.81970047422663,14.562785503377818,9.936333961485413,36.1896088493348
0,LOWRANK_4_8_R2,128,projection_leakage_mse,32,32,31,1,32,16.81958936122548,14.5626905434847,9.936268567747527,36.189446239412455
0,LOWRANK_4_8_R2,128,native_state_error_l2,32,32,31,1,32,1723.2570906231301,1696.2197917637636,1541.893988843125,2324.3670601734952
0,LOWRANK_4_8_R2,128,native_state_error_mse,32,32,31,1,32,973.8857168801908,936.5870943725952,773.9052971453656,1758.6856218813725
0,LOWRANK_4_8_R2,128,fp64_shadow_error_l2,32,32,31,1,32,1723.2570914348,1696.2197984453276,1541.8939872987964,2324.3670806202354
0,LOWRANK_4_8_R2,128,fp64_shadow_error_mse,32,32,31,1,32,973.885717965985,936.5871017500518,773.9052955951109,1758.6856528226022
0,LOWRANK_4_8_R2,128,gold_margin,32,32,31,1,32,53.06976502388716,56.32955551147461,15.465700149536133,72.88367652893066
0,LOWRANK_4_8_R2,128,top_two_margin,32,32,31,1,32,53.06976502388716,56.32955551147461,15.465700149536133,72.88367652893066
0,LOWRANK_4_8_R2,512,state_norm,32,32,0,32,32,19919.593761400058,19568.140683645703,15160.01243027206,27082.724261593485
0,LOWRANK_4_8_R2,512,residual_norm,32,32,0,32,32,862.3671825339952,867.7789046382698,625.898874552432,1163.1857460183317
0,LOWRANK_4_8_R2,512,native_state_norm,32,32,0,32,32,2329.6587712861233,2345.1746159019744,2117.446058274274,2556.584364323196
0,LOWRANK_4_8_R2,512,fp64_shadow_state_norm,32,32,0,32,32,2329.6587970594574,2345.1746684826976,2117.4461943085635,2556.584311147727
0,LOWRANK_4_8_R2,512,state_scale_minimum,32,32,0,32,32,0.00013571401836998123,0.00013061671052128077,0.00010471584391780198,0.00023478730872739106
0,LOWRANK_4_8_R2,512,state_scale_maximum,32,32,0,32,32,2236.163566589355,2074.0107421875,1597.640625,4597.255859375
0,LOWRANK_4_8_R2,512,residual_scale_minimum,32,32,0,32,32,2.130114681225814e-06,3.4690326344843925e-07,8.894578407137033e-09,8.423976396443322e-06
0,LOWRANK_4_8_R2,512,residual_scale_maximum,32,32,0,32,32,206.84448289871216,199.3870086669922,144.8981475830078,414.8771057128906
0,LOWRANK_4_8_R2,512,self_writeback_mse,32,32,0,32,32,1151.479320518082,1095.7383094653574,583.4722784372962,3181.273081714284
0,LOWRANK_4_8_R2,512,projection_leakage_mse,32,32,0,32,32,1151.473111277562,1095.732701612398,583.468504523484,3181.2616454415397
0,LOWRANK_4_8_R2,512,native_state_error_l2,32,32,0,32,32,19710.52019469864,19459.009303827745,14983.922535773743,26885.624257077274
0,LOWRANK_4_8_R2,512,native_state_error_mse,32,32,0,32,32,128665.75452063292,123261.17296332677,73085.2651556212,235298.4347958144
0,LOWRANK_4_8_R2,512,fp64_shadow_error_l2,32,32,0,32,32,19710.520193691187,19459.009327027838,14983.922565127474,26885.624295556423
0,LOWRANK_4_8_R2,512,fp64_shadow_error_mse,32,32,0,32,32,128665.75451107186,123261.17325744739,73085.26544197147,235298.43546934042
0,LOWRANK_4_8_R2,512,gold_margin,32,32,0,32,32,13.095100634032859,16.06983381509781,-62.0047550201416,70.47440528869629
0,LOWRANK_4_8_R2,512,top_two_margin,32,32,0,32,32,31.99537953757681,31.22877550125122,0.6062648296356201,70.47440528869629
0,LOWRANK_4_8_R2,2048,state_norm,32,32,0,32,32,197459690.21627277,150106165.2401717,92087365.12282518,1283199223.1309147
0,LOWRANK_4_8_R2,2048,residual_norm,32,32,0,32,32,8862107.757500252,6603218.139636327,3621192.0895605274,47864019.91865944
0,LOWRANK_4_8_R2,2048,native_state_norm,32,32,0,32,32,4231.570306020816,4143.7405657052805,3858.873432744674,4931.244167193293
0,LOWRANK_4_8_R2,2048,fp64_shadow_state_norm,32,32,0,32,32,4231.570907120142,4143.741172426098,3858.8739731821165,4931.24454722839
0,LOWRANK_4_8_R2,2048,state_scale_minimum,32,32,0,32,32,0.0005197918299018056,0.0005081591662019491,0.00017624706379137933,0.0012199918273836374
0,LOWRANK_4_8_R2,2048,state_scale_maximum,32,32,0,32,32,32378404.0625,23465213.0,11971605.0,203181632.0
0,LOWRANK_4_8_R2,2048,residual_scale_minimum,32,32,0,32,32,1.4944748544243325e-06,5.000035514513002e-07,2.7694916582277074e-08,8.520434676029254e-06
0,LOWRANK_4_8_R2,2048,residual_scale_maximum,32,32,0,32,32,2987441.837890625,2075949.25,976383.6875,18721600.0
0,LOWRANK_4_8_R2,2048,self_writeback_mse,32,32,0,32,32,247775170067.0394,70066472691.88998,15902882521.69816,4880647696840.744
0,LOWRANK_4_8_R2,2048,projection_leakage_mse,32,32,0,32,32,247774195870.69818,70066155099.39954,15902804271.69216,4880633526966.481
0,LOWRANK_4_8_R2,2048,native_state_error_l2,32,32,0,32,32,197459699.9679072,150106126.72038078,92087396.63537101,1283199224.7322326
0,LOWRANK_4_8_R2,2048,native_state_error_mse,32,32,0,32,32,25887361632855.812,7335329569678.88,2760445514023.483,536002685661914.94
0,LOWRANK_4_8_R2,2048,fp64_shadow_error_l2,32,32,0,32,32,197459699.9679018,150106126.7203371,92087396.63522646,1283199224.7321308
0,LOWRANK_4_8_R2,2048,fp64_shadow_error_mse,32,32,0,32,32,25887361632852.504,7335329569674.505,2760445514014.817,536002685661829.8
0,LOWRANK_4_8_R2,2048,gold_margin,32,32,0,32,32,-23.55940553918481,-22.2403302192688,-111.94938468933105,66.21388244628906
0,LOWRANK_4_8_R2,2048,top_two_margin,32,32,0,32,32,26.546777939423922,24.31513738632202,0.4259195327758789,67.71699714660645
0,MIXED_5_6_BUDGET,128,state_norm,32,32,32,0,32,1504.182535122499,1515.9002514648066,1296.85807427056,1721.4448826547539
0,MIXED_5_6_BUDGET,128,residual_norm,32,32,32,0,32,0.0,0.0,0.0,0.0
0,MIXED_5_6_BUDGET,128,native_state_norm,32,32,32,0,32,1340.7897535312188,1342.5264864307337,1120.6377605058806,1545.94361977141
0,MIXED_5_6_BUDGET,128,fp64_shadow_state_norm,32,32,32,0,32,1340.7897416148594,1342.5265002864448,1120.6377585923672,1545.9436090767683
0,MIXED_5_6_BUDGET,128,state_scale_minimum,32,32,32,0,32,2.9844909192888736e-05,2.6152963982895017e-05,1.697539846645668e-05,5.332427463144995e-05
0,MIXED_5_6_BUDGET,128,state_scale_maximum,32,32,32,0,32,224.37864065170285,215.32080078125,150.1922149658203,346.8777770996094
0,MIXED_5_6_BUDGET,128,residual_scale_minimum,32,32,32,0,0,,,,
0,MIXED_5_6_BUDGET,128,residual_scale_maximum,32,32,32,0,0,,,,
0,MIXED_5_6_BUDGET,128,self_writeback_mse,32,32,32,0,32,2.211840448163088,2.193796089576785,1.207968445236425,4.015707936262969
0,MIXED_5_6_BUDGET,128,projection_leakage_mse,32,32,32,0,32,0.0,0.0,0.0,0.0
0,MIXED_5_6_BUDGET,128,native_state_error_l2,32,32,32,0,32,691.1381201647736,690.5933332245958,599.8603983273273,793.2595999049908
0,MIXED_5_6_BUDGET,128,native_state_error_mse,32,32,32,0,32,156.00304801247228,155.2507435478599,117.13297444056634,204.8374976697351
0,MIXED_5_6_BUDGET,128,fp64_shadow_error_l2,32,32,32,0,32,691.1381226128997,690.5933408437779,599.8603959233757,793.2595950855181
0,MIXED_5_6_BUDGET,128,fp64_shadow_error_mse,32,32,32,0,32,156.00304905832672,155.25074694687657,117.13297350174122,204.83749518074222
0,MIXED_5_6_BUDGET,128,gold_margin,32,32,32,0,32,53.20530930161476,53.254608154296875,29.498229026794434,69.12326049804688
0,MIXED_5_6_BUDGET,128,top_two_margin,32,32,32,0,32,53.20530930161476,53.254608154296875,29.498229026794434,69.12326049804688
0,MIXED_5_6_BUDGET,512,state_norm,32,32,1,31,32,3562.674158172565,3591.836283144017,3191.448683506576,4011.7675319717796
0,MIXED_5_6_BUDGET,512,residual_norm,32,32,1,31,32,0.0,0.0,0.0,0.0
0,MIXED_5_6_BUDGET,512,native_state_norm,32,32,1,31,32,2329.6587712861233,2345.1746159019744,2117.446058274274,2556.584364323196
0,MIXED_5_6_BUDGET,512,fp64_shadow_state_norm,32,32,1,31,32,2329.6587970594574,2345.1746684826976,2117.4461943085635,2556.584311147727
0,MIXED_5_6_BUDGET,512,state_scale_minimum,32,32,1,31,32,8.948076595061139e-05,8.277454253402539e-05,5.9819063608301803e-05,0.0001445967936888337
0,MIXED_5_6_BUDGET,512,state_scale_maximum,32,32,1,31,32,454.2960271835327,443.7784881591797,331.419677734375,591.39794921875
0,MIXED_5_6_BUDGET,512,residual_scale_minimum,32,32,1,31,0,,,,
0,MIXED_5_6_BUDGET,512,residual_scale_maximum,32,32,1,31,0,,,,
0,MIXED_5_6_BUDGET,512,self_writeback_mse,32,32,1,31,32,10.299524395708676,9.69594066991263,4.406617469824671,19.88981451467608
0,MIXED_5_6_BUDGET,512,projection_leakage_mse,32,32,1,31,32,0.0,0.0,0.0,0.0
0,MIXED_5_6_BUDGET,512,native_state_error_l2,32,32,1,31,32,2682.7795659740277,2688.2187283888243,2339.371725497329,3075.7734192042594
0,MIXED_5_6_BUDGET,512,native_state_error_mse,32,32,1,31,32,2353.7691282486526,2352.3946127982717,1781.4648665548013,3079.5514733995637
0,MIXED_5_6_BUDGET,512,fp64_shadow_error_l2,32,32,1,31,32,2682.7795566019336,2688.2187519937665,2339.3716480141125,3075.773406502123
