model_seed,arm,period,metric,N_sequences,eligible_sample_writes,contributing_sequences,valid_sample_writes,mean_of_sequence_means,mean,median,minimum,maximum
0,LOWRANK_4_8_R2,before_first_failure,gold_margin,32,9178,32,9178,55.220158866789006,55.11219670191771,55.80153179168701,0.0787200927734375,99.58074951171875
0,LOWRANK_4_8_R2,before_first_failure,top_two_margin,32,9178,32,9178,55.220158866789006,55.11219670191771,55.80153179168701,0.0787200927734375,99.58074951171875
0,LOWRANK_4_8_R2,at_or_after_first_failure,state_norm,32,56358,32,56358,18367398.072931543,18398544.768928785,815769.7181809018,1689.4874841183005,1283199223.1309147
0,LOWRANK_4_8_R2,at_or_after_first_failure,residual_norm,32,56358,32,56358,846900.8527984067,848829.200614,37223.9486476949,76.97772496609355,80408315.08368248
0,LOWRANK_4_8_R2,at_or_after_first_failure,native_state_norm,32,56358,32,56358,3217.0006248756504,3213.7008959072427,3268.0704961297724,1188.4391937782543,4984.359117355076
0,LOWRANK_4_8_R2,at_or_after_first_failure,fp64_shadow_state_norm,32,56358,32,56358,3217.0008673192897,3213.701140235893,3268.07067611406,1188.4391909373082,4984.35953923826
0,LOWRANK_4_8_R2,at_or_after_first_failure,state_scale_minimum,32,56358,32,56358,0.0003005687200481525,0.00029996894433133173,0.00029098926461301744,1.9764569515245967e-05,0.0012199918273836374
0,LOWRANK_4_8_R2,at_or_after_first_failure,state_scale_maximum,32,56358,32,56358,3101994.1113106236,3112778.571530414,109898.12890625,189.077392578125,270594880.0
0,LOWRANK_4_8_R2,at_or_after_first_failure,residual_scale_minimum,32,56358,32,56358,1.7893034828361781e-06,1.7881440417334832e-06,4.369851893670784e-07,6.675224262231438e-10,1.0742110134742688e-05
0,LOWRANK_4_8_R2,at_or_after_first_failure,residual_scale_maximum,32,56358,32,56358,292040.0180903419,292935.4239102429,10473.12548828125,15.431130409240723,33709060.0
0,LOWRANK_4_8_R2,at_or_after_first_failure,self_writeback_mse,32,56358,32,56358,12884129890.26913,12960913548.055336,2012081.7452914943,8.886507882590253,7772143490718.009
0,LOWRANK_4_8_R2,at_or_after_first_failure,projection_leakage_mse,32,56358,32,56358,12884059409.737335,12960842506.912416,2012073.524359406,8.886437534071861,7772124593215.77
0,LOWRANK_4_8_R2,at_or_after_first_failure,native_state_error_l2,32,56358,32,56358,18367324.440653864,18398470.37259394,815733.5491693392,1189.7897665872372,1283199224.7322326
0,LOWRANK_4_8_R2,at_or_after_first_failure,native_state_error_mse,32,56358,32,56358,1261390596132.6643,1270250045717.7864,216608479.38420838,460.8071903241252,536002685661914.94
0,LOWRANK_4_8_R2,at_or_after_first_failure,fp64_shadow_error_l2,32,56358,32,56358,18367324.440646205,18398470.372586656,815733.5492087003,1189.7897631754613,1283199224.7321308
0,LOWRANK_4_8_R2,at_or_after_first_failure,fp64_shadow_error_mse,32,56358,32,56358,1261390596132.3982,1270250045717.5215,216608479.40511838,460.8071876813542,536002685661829.8
0,LOWRANK_4_8_R2,at_or_after_first_failure,gold_margin,32,56358,32,56358,-5.376318429372839,-5.303690026178459,-3.379199504852295,-138.4968605041504,98.50814437866211
0,LOWRANK_4_8_R2,at_or_after_first_failure,top_two_margin,32,56358,32,56358,35.16961189191997,35.17984435843013,34.26525068283081,0.000202178955078125,99.4352912902832
1,LOWRANK_4_8_R2,before_first_failure,state_norm,32,7506,32,7506,1934.4363904327265,2149.1235390701763,1797.6176568756487,361.1781260420664,8916.116464512636
