model_seed,arm,metric,valid_sample_writes,maximum,sample_index,sample_id,write_position,first_failure_tau,is_BOS,at_or_after_first_failure,strictly_after_first_failure
2,LOWRANK_4_8_R2,state_norm,65568,4.485518051129944e+16,12,S3:DEV:40101:000012,2048,218,False,True,True
2,LOWRANK_4_8_R2,residual_norm,65568,3697519103697084.5,12,S3:DEV:40101:000012,2048,218,False,True,True
2,LOWRANK_4_8_R2,native_state_error_l2,65568,4.485518051129942e+16,12,S3:DEV:40101:000012,2048,218,False,True,True
2,LOWRANK_4_8_R2,fp64_shadow_error_l2,65568,4.485518051129942e+16,12,S3:DEV:40101:000012,2048,218,False,True,True
2,LOWRANK_4_8_R2,self_writeback_mse,65568,2.8510137967333176e+27,12,S3:DEV:40101:000012,2040,218,False,True,True
2,LOWRANK_4_8_R2,projection_leakage_mse,65568,2.8509623152495907e+27,12,S3:DEV:40101:000012,2040,218,False,True,True
2,MIXED_5_6_BUDGET,state_norm,65568,9681.066319402973,14,S3:DEV:40101:000014,2048,118,False,True,True
2,MIXED_5_6_BUDGET,residual_norm,65568,0.0,0,S3:DEV:40101:000000,0,252,True,False,False
2,MIXED_5_6_BUDGET,native_state_error_l2,65568,9463.985181467608,14,S3:DEV:40101:000014,2048,118,False,True,True
2,MIXED_5_6_BUDGET,fp64_shadow_error_l2,65568,9463.985174652833,14,S3:DEV:40101:000014,2048,118,False,True,True
2,MIXED_5_6_BUDGET,self_writeback_mse,65568,136.8533481624314,14,S3:DEV:40101:000014,1994,118,False,True,True
2,MIXED_5_6_BUDGET,projection_leakage_mse,65568,0.0,0,S3:DEV:40101:000000,0,252,True,False,False
