phase,model_seed,arm,n_sequences,source_family_size,joint_family_size,source_failure_upper_bound,source_json_sha256,horizon,first_failures,failure_probability,survival_probability,failure_upper_bound,survival_lower_bound
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,LOWRANK_4_8_R2,512,546,630,0.06504679039111078,ccaf56039db2beff7fb3a7fd18d02495a2ca4410815b0e25bbfd74b84c417911,128,14,0.02734375,0.97265625,0.06548325633657673,0.9345167436634233
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,LOWRANK_4_8_R2,512,546,630,0.5599448875654769,ccaf56039db2beff7fb3a7fd18d02495a2ca4410815b0e25bbfd74b84c417911,256,244,0.4765625,0.5234375,0.560726489477537,0.439273510522463
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,LOWRANK_4_8_R2,512,546,630,0.981805902197242,ccaf56039db2beff7fb3a7fd18d02495a2ca4410815b0e25bbfd74b84c417911,512,489,0.955078125,0.044921875,0.9819839056061589,0.01801609439384111
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,LOWRANK_4_8_R2,512,546,630,0.9999998211342254,ccaf56039db2beff7fb3a7fd18d02495a2ca4410815b0e25bbfd74b84c417911,1024,511,0.998046875,0.001953125,0.9999998449839399,1.5501606009937774e-07
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,LOWRANK_4_8_R2,512,546,630,1.0,ccaf56039db2beff7fb3a7fd18d02495a2ca4410815b0e25bbfd74b84c417911,2048,512,1.0,0.0,1.0,0.0
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,LOWRANK_4_8_R4,512,546,630,0.017996927961500465,9f49b4accf2f270b4692c10fb21550560d04cedf6bb098b9ab7ac546d4b42bee,32,0,0.0,1.0,0.018271353414420138,0.9817286465855799
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,LOWRANK_4_8_R4,512,546,630,0.017996927961500465,9f49b4accf2f270b4692c10fb21550560d04cedf6bb098b9ab7ac546d4b42bee,64,0,0.0,1.0,0.018271353414420138,0.9817286465855799
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,LOWRANK_4_8_R4,512,546,630,0.06783418361152173,9f49b4accf2f270b4692c10fb21550560d04cedf6bb098b9ab7ac546d4b42bee,128,15,0.029296875,0.970703125,0.06827784429960103,0.931722155700399
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,LOWRANK_4_8_R4,512,546,630,0.7195075248147202,9f49b4accf2f270b4692c10fb21550560d04cedf6bb098b9ab7ac546d4b42bee,256,329,0.642578125,0.357421875,0.7202007844917363,0.2797992155082637
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,LOWRANK_4_8_R4,512,546,630,0.9998363504624042,9f49b4accf2f270b4692c10fb21550560d04cedf6bb098b9ab7ac546d4b42bee,512,509,0.994140625,0.005859375,0.9998441270505333,0.0001558729494667288
