phase,model_seed,arm,source_kind,source_family_size,joint_family_size,execution_status,per_stream_bytes,shared_bytes,rmst,final_survival,source_json,source_json_sha256,additional_complete_call_timing,n_sequences,max_horizon,observed_failures,right_censored_sequences,final_failure_probability,empirical_T05,empirical_T05_status,supported_T05,supported_T05_status,empirical_T01,empirical_T01_status,supported_T01,supported_T01_status,total_bytes_N1,amortized_bytes_N1,total_bytes_N16,amortized_bytes_N16,total_bytes_N128,amortized_bytes_N128
POST_HOC_BUDGET_AUDIT_SAME_TEST,1,FULL_RESIDUAL_4_FP32,original,546,630,COMPLETE,13880,29718,271.23828125,0.0,original_seed1/TEST/FULL_RESIDUAL_4_FP32.json,7f7e69ee11503bb594031127c8a713dd251f2a8acadba8f87a73a03a0a94ecd4,NOT_MEASURED,512,2048,512,0,1.0,64,largest qualifying empirical sample grid horizon,64,simultaneous confidence-supported lower bound >= 64,64,largest qualifying empirical sample grid horizon,,no qualifying grid horizon (<32); not a measured zero horizon,43598,43598.0,251798,15737.375,1806358,14112.171875
POST_HOC_BUDGET_AUDIT_SAME_TEST,1,LOWRANK_4_8_R1,original,546,630,COMPLETE,1832,30707,176.75,0.0,original_seed1/TEST/LOWRANK_4_8_R1.json,cfac91215152db73250a532de61b5cb86ffa2d82e6df33879715bf2ac1cf7ea1,NOT_MEASURED,512,2048,512,0,1.0,64,largest qualifying empirical sample grid horizon,32,simultaneous confidence-supported lower bound >= 32,32,largest qualifying empirical sample grid horizon,,no qualifying grid horizon (<32); not a measured zero horizon,32539,32539.0,60019,3751.1875,265203,2071.8984375
POST_HOC_BUDGET_AUDIT_SAME_TEST,1,LOWRANK_4_8_R2,original,546,630,COMPLETE,2024,31475,218.3984375,0.0,original_seed1/TEST/LOWRANK_4_8_R2.json,ea20454f599f9c2a50a0e2794c9e1862c84462e88d97af26c178a5222a38e781,NOT_MEASURED,512,2048,512,0,1.0,64,largest qualifying empirical sample grid horizon,64,simultaneous confidence-supported lower bound >= 64,64,largest qualifying empirical sample grid horizon,,no qualifying grid horizon (<32); not a measured zero horizon,33499,33499.0,63859,3991.1875,290547,2269.8984375
POST_HOC_BUDGET_AUDIT_SAME_TEST,1,LOWRANK_4_8_R4,original,546,630,COMPLETE,2408,33011,235.818359375,0.0,original_seed1/TEST/LOWRANK_4_8_R4.json,619fef9cadbdc677a4c7c3649af7852e6c4a8e5c374fb408c1ab22fdd9f46f56,NOT_MEASURED,512,2048,512,0,1.0,64,largest qualifying empirical sample grid horizon,64,simultaneous confidence-supported lower bound >= 64,64,largest qualifying empirical sample grid horizon,,no qualifying grid horizon (<32); not a measured zero horizon,35419,35419.0,71539,4471.1875,341235,2665.8984375
POST_HOC_BUDGET_AUDIT_SAME_TEST,1,MIXED_4_8,original,546,630,COMPLETE,1976,30031,196.529296875,0.0,original_seed1/TEST/MIXED_4_8.json,9b19c756584ffacc6c327a266a4efd3737d927949fd2778fb8d6d157eef7aed2,NOT_MEASURED,512,2048,512,0,1.0,64,largest qualifying empirical sample grid horizon,64,simultaneous confidence-supported lower bound >= 64,64,largest qualifying empirical sample grid horizon,,no qualifying grid horizon (<32); not a measured zero horizon,32007,32007.0,61647,3852.9375,282959,2210.6171875
POST_HOC_BUDGET_AUDIT_SAME_TEST,1,MIXED_4_8_TOP2,supplement,630,630,COMPLETE,1784,30031,183.43359375,0.0,supplement_seed1/TEST/MIXED_4_8_TOP2.json,82486a86c96434c37e831223c0ffaf738dee2a76fb3a9724b512ec6d59cd2010,NOT_MEASURED,512,2048,512,0,1.0,64,largest qualifying empirical sample grid horizon,64,simultaneous confidence-supported lower bound >= 64,32,largest qualifying empirical sample grid horizon,,no qualifying grid horizon (<32); not a measured zero horizon,31815,31815.0,58575,3660.9375,258383,2018.6171875
POST_HOC_BUDGET_AUDIT_SAME_TEST,1,MIXED_4_8_TOP5,supplement,630,630,COMPLETE,2072,30031,217.3046875,0.0,supplement_seed1/TEST/MIXED_4_8_TOP5.json,f9d5aa2e6d3ac38ec17941c7c3cbfffa0f77c71d9b81f054b3c018fcf42a615b,NOT_MEASURED,512,2048,512,0,1.0,64,largest qualifying empirical sample grid horizon,64,simultaneous confidence-supported lower bound >= 64,64,largest qualifying empirical sample grid horizon,,no qualifying grid horizon (<32); not a measured zero horizon,32103,32103.0,63183,3948.9375,295247,2306.6171875
POST_HOC_BUDGET_AUDIT_SAME_TEST,1,MIXED_6_8,original,546,630,COMPLETE,2744,30031,271.06640625,0.0,original_seed1/TEST/MIXED_6_8.json,34ce2c5ff44b3535f259142f5a863e45185b3b9a026a9627485e795f724d8910,NOT_MEASURED,512,2048,512,0,1.0,64,largest qualifying empirical sample grid horizon,64,simultaneous confidence-supported lower bound >= 64,64,largest qualifying empirical sample grid horizon,,no qualifying grid horizon (<32); not a measured zero horizon,32775,32775.0,73935,4620.9375,381263,2978.6171875
POST_HOC_BUDGET_AUDIT_SAME_TEST,1,MIXED_6_8_TOP1,supplement,630,630,COMPLETE,2408,30031,259.166015625,0.0,supplement_seed1/TEST/MIXED_6_8_TOP1.json,d210e7c903c11ca581eec1fa1598553c881e688314b4911ef368251a40a1055c,NOT_MEASURED,512,2048,512,0,1.0,64,largest qualifying empirical sample grid horizon,64,simultaneous confidence-supported lower bound >= 64,64,largest qualifying empirical sample grid horizon,,no qualifying grid horizon (<32); not a measured zero horizon,32439,32439.0,68559,4284.9375,338255,2642.6171875
POST_HOC_BUDGET_AUDIT_SAME_TEST,1,MIXED_6_8_TOP4,supplement,630,630,COMPLETE,2552,30031,268.65625,0.0,supplement_seed1/TEST/MIXED_6_8_TOP4.json,7aba6198324c190b1fa1a632687cb3dc0e7aa96446b43178e1e14923ce158741,NOT_MEASURED,512,2048,512,0,1.0,64,largest qualifying empirical sample grid horizon,64,simultaneous confidence-supported lower bound >= 64,64,largest qualifying empirical sample grid horizon,,no qualifying grid horizon (<32); not a measured zero horizon,32583,32583.0,70863,4428.9375,356687,2786.6171875
