split,task,arm,boundary,scenarios,median_absolute_rms,median_B_reference_rms,median_relative_error
boundary_pool,RETRIEVAL,V4,block_13_output_last,10,0.01550075080013336,1.3468923347526958,0.011525628271834775
boundary_pool,RETRIEVAL,V4,block_14_output_last,10,0.017687528522594233,1.4664842725249674,0.012048583970186495
boundary_pool,RETRIEVAL,V4,block_18_output_last,10,0.05499366803217123,3.3959626901233424,0.01617063902910089
boundary_pool,RETRIEVAL,V4,block_22_output_last,10,0.12856771552960472,7.137926320224927,0.018094290875961306
boundary_pool,RETRIEVAL,V4,block_27_output_last,10,0.29974667635737484,9.84526271718488,0.03044892875105596
boundary_pool,RETRIEVAL,V4,final_logits,10,0.10139450197283795,3.5409064028127366,0.028111312528749093
boundary_pool,RETRIEVAL,V4,final_norm_last,10,0.10997004414145495,4.948456941650754,0.02225247111404261
boundary_pool,RETRIEVAL,V4,layer13_attention_before_o_proj_last,10,0.0170129539260099,0.5160245219237491,0.03295941106496679
boundary_pool,RETRIEVAL,V4,layer13_post_attention_residual_last,10,0.016023751890670943,1.4652464771492584,0.010924849356540093
boundary_pool,COMPARISON,A_PUBLIC,block_13_output_last,18,0.019098245773449547,1.341086482315109,0.014260761695273586
boundary_pool,COMPARISON,A_PUBLIC,block_14_output_last,18,0.021123644759230044,1.4583938628275095,0.014440529240003431
boundary_pool,COMPARISON,A_PUBLIC,block_18_output_last,18,0.06192506201032311,3.4295875755430565,0.018042637805886753
boundary_pool,COMPARISON,A_PUBLIC,block_22_output_last,18,0.12898635503233521,7.082902199070992,0.018249636292241994
boundary_pool,COMPARISON,A_PUBLIC,block_27_output_last,18,0.2945317605501458,10.054849059018348,0.029222138881452645
boundary_pool,COMPARISON,A_PUBLIC,final_logits,18,0.11406331204949893,3.3748124574002922,0.03371481823207445
boundary_pool,COMPARISON,A_PUBLIC,final_norm_last,18,0.10894015494597092,4.79395007989166,0.02267297338012477
boundary_pool,COMPARISON,A_PUBLIC,layer13_attention_before_o_proj_last,18,0.019451749459262938,0.503463147310485,0.03861724346497321
boundary_pool,COMPARISON,A_PUBLIC,layer13_post_attention_residual_last,18,0.018850402693357908,1.4493586731297112,0.013023383070001792
boundary_pool,COMPARISON,V4,block_13_output_last,18,0.01709081597905123,1.341086482315109,0.01272471730010952
boundary_pool,COMPARISON,V4,block_14_output_last,18,0.01898464847367918,1.4583938628275095,0.01299845836836827
boundary_pool,COMPARISON,V4,block_18_output_last,18,0.058754748717160535,3.4295875755430565,0.01714427109933355
boundary_pool,COMPARISON,V4,block_22_output_last,18,0.13138306380913545,7.082902199070992,0.01849842001023799
boundary_pool,COMPARISON,V4,block_27_output_last,18,0.32321586011914516,10.054849059018348,0.03224486582375008
boundary_pool,COMPARISON,V4,final_logits,18,0.10579376109224478,3.3748124574002922,0.03155588354771997
boundary_pool,COMPARISON,V4,final_norm_last,18,0.11534293496601966,4.79395007989166,0.02415740944509382
boundary_pool,COMPARISON,V4,layer13_attention_before_o_proj_last,18,0.016940563168647924,0.503463147310485,0.03356773440297288
boundary_pool,COMPARISON,V4,layer13_post_attention_residual_last,18,0.017129461463314496,1.4493586731297112,0.011819607306866028
boundary_pool,CODE,A_PUBLIC,block_13_output_last,18,0.020204009978932323,1.34012969976257,0.015104496860261728
boundary_pool,CODE,A_PUBLIC,block_14_output_last,18,0.023958188091147244,1.466499385772675,0.0163360865711231
boundary_pool,CODE,A_PUBLIC,block_18_output_last,18,0.06211391796879776,3.4127250244420253,0.018234974572984633
boundary_pool,CODE,A_PUBLIC,block_22_output_last,18,0.12757443324395676,6.9965270627607605,0.01827222753605698
boundary_pool,CODE,A_PUBLIC,block_27_output_last,18,0.318891828534312,9.769288839848262,0.03193042761209171
boundary_pool,CODE,A_PUBLIC,final_logits,18,0.10686221133229006,3.429644800993081,0.031172032802220084
boundary_pool,CODE,A_PUBLIC,final_norm_last,18,0.12281773896834419,4.9246266122919895,0.02505494430021698
boundary_pool,CODE,A_PUBLIC,layer13_attention_before_o_proj_last,18,0.020729806773275298,0.5324682324334369,0.03890688534051044
boundary_pool,CODE,A_PUBLIC,layer13_post_attention_residual_last,18,0.02086507145648529,1.4492492172340556,0.014390606859039857
boundary_pool,CODE,V4,block_13_output_last,18,0.01890979709805477,1.34012969976257,0.014100702284401061
boundary_pool,CODE,V4,block_14_output_last,18,0.021845456558203212,1.466499385772675,0.014879074648710654
boundary_pool,CODE,V4,block_18_output_last,18,0.058350332842023,3.4127250244420253,0.01714123165322625
boundary_pool,CODE,V4,block_22_output_last,18,0.12919286112018386,6.9965270627607605,0.01841386290640907
boundary_pool,CODE,V4,block_27_output_last,18,0.3252257782131993,9.769288839848262,0.03334233696220233
boundary_pool,CODE,V4,final_logits,18,0.12496958987200374,3.429644800993081,0.03643791165817558
boundary_pool,CODE,V4,final_norm_last,18,0.12211711662409296,4.9246266122919895,0.025022599811434135
boundary_pool,CODE,V4,layer13_attention_before_o_proj_last,18,0.0178471438538714,0.5324682324334369,0.03339206318156218
boundary_pool,CODE,V4,layer13_post_attention_residual_last,18,0.018698127473079897,1.4492492172340556,0.012916414527451998
